number,value,datetime_start,datetime_complete,duration,params_T_max,params_clip_epsilon,params_entropy_coef,params_eta_min,params_gae_lambda,params_gamma,params_lr,params_scheduler,params_value_loss_coef,state
112,,2025-03-14 11:54:22.644698,2025-03-14 11:58:39.498101,0 days 00:04:16.853403,50,0.15556500978391635,0.001566075731598534,2.604041728379802e-06,0.9426958370645525,0.9935879208341898,0.0002670636276342804,cosine,0.8619045529516333,FAIL
113,,2025-03-14 11:54:38.828507,2025-03-14 11:56:55.160853,0 days 00:02:16.332346,42,0.20359345938438134,0.001696309810502124,5.311378142236452e-06,0.9423099277467034,0.9847797265550026,0.0009357966822313139,cosine,0.9550800870558881,FAIL
114,,2025-03-14 11:57:27.088368,2025-03-14 12:04:18.415494,0 days 00:06:51.327126,49,0.21645709387075385,0.0004935154872968563,7.937501777071877e-07,0.9468973732861576,0.9698226897173576,0.00014363942496461315,step,0.31867753528405074,FAIL
115,,2025-03-14 11:59:09.369116,2025-03-14 12:04:17.069755,0 days 00:05:07.700639,46,0.16118876198583926,0.0008822531131962341,2.9761334682869613e-06,0.9428805216983636,0.9891077617949808,0.0006391446175651303,cosine,0.970952571267371,FAIL
116,,2025-03-14 12:05:53.255539,2025-03-14 12:06:09.719570,0 days 00:00:16.464031,50,0.24299800183731535,0.0013795532626258915,1.9401303400992903e-06,0.9349909613257379,0.9602405113479748,0.00044224361747568645,step,0.2532873981854953,FAIL
117,,2025-03-14 12:05:53.259285,2025-03-14 12:09:20.248571,0 days 00:03:26.989286,48,0.21605711998844013,0.001173885870681632,7.069033182409495e-07,0.9249956571476042,0.97077230353441,0.0007630335132574709,cosine,0.9453827550843141,FAIL
118,132.39285786946616,2025-03-14 12:05:53.256545,2025-03-14 12:21:02.661675,0 days 00:15:09.405130,49,0.24977415291634972,0.0020622640186278617,1.1118758808300782e-07,0.9461413974687652,0.9932907418871657,0.0007112714510323691,step,0.2642195827652803,COMPLETE
119,86.19444529215495,2025-03-14 12:05:53.264198,2025-03-14 12:20:55.498138,0 days 00:15:02.233940,49,0.29805467028940846,0.004853877647947538,2.232627134479359e-07,0.9310047656635136,0.9870992754955151,0.0007556528353482968,step,0.4114964484964476,COMPLETE
120,,2025-03-14 12:06:34.205694,2025-03-14 12:21:03.154591,0 days 00:14:28.948897,47,0.18366343093443424,0.002553617345957925,7.343565185674709e-07,0.9537959985835996,0.9833763159581054,0.0008796070529654159,cosine,0.9553865541555064,FAIL
121,,2025-03-14 12:09:46.950196,2025-03-14 12:21:03.149540,0 days 00:11:16.199344,45,0.27358045196495623,0.0011337881462293482,9.78538889572823e-07,0.9418741505326745,0.9511687052433552,0.0004492338685131609,step,0.12082799262141175,FAIL
122,102.4087282816569,2025-03-14 12:22:39.878796,2025-03-14 12:36:50.591612,0 days 00:14:10.712816,41,0.15833385212831372,0.0007950149119641982,2.116460140974382e-06,0.947174959318182,0.9926591369047187,0.0005020471755634671,cosine,0.9418300343763583,COMPLETE
123,,2025-03-14 12:22:39.881672,2025-03-14 12:23:02.216483,0 days 00:00:22.334811,45,0.2602385120211414,0.0014826595994027981,1.085536209739289e-07,0.9517071876825094,0.9918280905236195,0.00046541504924804607,step,0.2728796108053902,FAIL
124,,2025-03-14 12:22:39.889063,2025-03-14 12:23:02.217633,0 days 00:00:22.328570,50,0.13871000964183428,0.007170425917657397,1.414489988880334e-06,0.9620098861749434,0.9912556341109351,0.00036764985667489796,cosine,0.9095147346917756,FAIL
125,,2025-03-14 12:22:39.898387,2025-03-14 12:30:00.063593,0 days 00:07:20.165206,49,0.18006916726998573,0.0014206830666016691,1.1911167462743511e-07,0.9242861415876813,0.9937766752047277,0.0008388606839692858,cosine,0.20296889350855668,FAIL
126,,2025-03-14 12:23:29.047136,2025-03-14 12:36:55.910904,0 days 00:13:26.863768,44,0.18809414615704217,0.0005622393736890961,2.125697868321677e-06,0.9401939632804732,0.9797745538913581,0.00043604263878416433,cosine,0.9980030886720312,FAIL
127,,2025-03-14 12:23:31.927093,2025-03-14 12:36:56.950476,0 days 00:13:25.023383,44,0.2879215000856869,0.0007036451894648598,1.398294415583669e-06,0.9117580259842946,0.9613413311952321,0.0002072078474187221,step,0.4787182765950666,FAIL
